BuildingActivity,BuildingConsumptionKwhPerSqFtPerYear
Education,9.1
Food service,40.575
Health care,23.375
Inpatient,28.1
Outpatient,17.5
Lodging,14.225
Mercantile,16.375
Retail (other than mall),13.075
Enclosed and strip malls,19.275
Office,13.425
Public assembly,11.425
Religious worship,4.725
Service,7.4
Warehouse and storage,5.8
Other,31.55
